id,name,category,subCategory,flavor,taste,wikipediaUrl
73,"gruyere cheese",dairy,,,,"https://en.wikipedia.org/wiki/Gruy%C3%A8re_cheese"
74,"limburger cheese",dairy,,,,"https://en.wikipedia.org/wiki/Limburger"
75,"mozzarella cheese",dairy,,,,"https://en.wikipedia.org/wiki/Mozzarella"
76,"munster cheese",dairy,,,,"https://en.wikipedia.org/wiki/Munster_cheese"
77,"other cheeses",dairy,,,,"https://en.wikipedia.org/wiki/Cheese"
78,"parmesan cheese",dairy,,,,"https://en.wikipedia.org/wiki/Parmigiano-Reggiano"
79,"provolone cheese",dairy,,,,"https://en.wikipedia.org/wiki/Provolone"
80,"romano cheese",dairy,,,,"https://en.wikipedia.org/wiki/Romano_cheese"
81,"roquefort cheese",dairy,,,,"https://en.wikipedia.org/wiki/Roquefort"
82,"russian cheese",dairy,,,,"https://en.wikipedia.org/wiki/Circassian_cheese"
83,"sheep cheese",dairy,,,,"https://en.wikipedia.org/wiki/Sheep_milk_cheese"
84,"swiss cheese",dairy,,,,"https://en.wikipedia.org/wiki/Swiss_cheese"
85,"tilsit cheese",dairy,,,,"https://en.wikipedia.org/wiki/Tilsit_cheese"
86,"dairy products",dairy,,,,"https://en.wikipedia.org/wiki/Dairy"
87,ghee,dairy,,,,"https://en.wikipedia.org/wiki/Ghee"
88,milk,dairy,,,,"https://en.wikipedia.org/wiki/Milk"
89,"milk fat",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
90,"goat milk",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
91,"milk powder",dairy,,,,"https://en.wikipedia.org/wiki/Powdered_milk"
92,"sheep milk",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
93,"skimmed milk",dairy,,,,"https://en.wikipedia.org/wiki/Milk"
94,yogurt,dairy,,,,"https://en.wikipedia.org/wiki/Yogurt"
95,achilleas,"essential oil",,,,"https://en.wikipedia.org/wiki/Achillea"
96,arar,"essential oil",,,,"https://en.wikipedia.org/wiki/Juniperus_phoenicea"
97,buchu,"essential oil",,,,"https://en.wikipedia.org/wiki/Agathosma"
98,cajeput,"essential oil",,,,"https://en.wikipedia.org/wiki/Cajeput_tree"
99,camphor,"essential oil",,,,"https://en.wikipedia.org/wiki/Cinnamomum_camphora"
100,cascarilla,"essential oil",,,,"https://en.wikipedia.org/wiki/Croton_eluteria"
101,cedar,"essential oil",,,,"https://en.wikipedia.org/wiki/Cedrus"
102,chamomile,"essential oil",,,,"https://en.wikipedia.org/wiki/Chamaemelum_nobile"
103,citronella,"essential oil",,,,"https://en.wikipedia.org/wiki/Citronella_oil"
104,"citrus peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Citrus"
105,eucalyptus,"essential oil",,,,"https://en.wikipedia.org/wiki/Eucalyptus_oil"
106,fir,"essential oil",,,,"https://en.wikipedia.org/wiki/Fir"
107,geranium,"essential oil",,,,"https://en.wikipedia.org/wiki/Geranium"
108,"grapefruit peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Grapefruit"
109,grass,"essential oil",,,,"https://en.wikipedia.org/wiki/Andropogon"
110,"hops oil","essential oil",,,,"https://en.wikipedia.org/wiki/Hops"
111,hyacinth,"essential oil",,,,"https://en.wikipedia.org/wiki/Hyacinthus_orientalis"
112,"hyssop oil","essential oil",,,,"https://en.wikipedia.org/wiki/Hyssopus_officinalis"
113,"lemon grass","essential oil",,,,"https://en.wikipedia.org/wiki/Cymbopogon"
114,"lemon peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Lemon"
115,"lime peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Key_lime"
116,lovage,"essential oil",,,,"https://en.wikipedia.org/wiki/Lovage"
117,"mandarin orange peel oil","essential oil",,,,"https://en.wikipedia.org/wiki/Mandarin_orange"
118,"mastic gum","essential oil",,,,"https://en.wikipedia.org/wiki/Mastic_(plant_resin)"
119,"mentha oil","essential oil",,,,"https://en.wikipedia.org/wiki/Mentha"
120,myrrh,"essential oil",,,,"https://en.wikipedia.org/wiki/Myrrh"
121,"neroli oil","essential oil",,,,"https://en.wikipedia.org/wiki/Neroli"
122,"orange oil","essential oil",,,,"https://en.wikipedia.org/wiki/Bitter_orange"
123,orris,"essential oil",,,,"https://en.wikipedia.org/wiki/Orris_root"
124,"clary sage","essential oil",,,,"https://en.wikipedia.org/wiki/Salvia_sclarea"
125,"red sage","essential oil",,,,"https://en.wikipedia.org/wiki/Lantana_camara"
126,"spanish sage","essential oil",,,,"https://en.wikipedia.org/wiki/Salvia_lavandulifolia"
127,sandalwood,"essential oil",,,,"https://en.wikipedia.org/wiki/Sandalwood"
128,"sea buckthorns",berry,,,,"https://en.wikipedia.org/wiki/Hippophae"
129,"sweet grass","essential oil",,,,"https://en.wikipedia.org/wiki/Hierochloe_odorata"
130,valerian,"essential oil",,,,"https://en.wikipedia.org/wiki/Valerian_(herb)"
131,wattle,"essential oil",,,,"https://en.wikipedia.org/wiki/Vachellia_farnesiana"
132,yarrow,"essential oil",,,,"https://en.wikipedia.org/wiki/Achillea_millefolium"
133,ylang-ylang,"essential oil",,,,"https://en.wikipedia.org/wiki/Cananga_odorata"
134,clam,seafood,,,,"https://en.wikipedia.org/wiki/Clam"
135,crab,seafood,,,,"https://en.wikipedia.org/wiki/Crab"
136,crayfish,seafood,,,,"https://en.wikipedia.org/wiki/Crayfish"
137,kelp,seafood,,,,"https://en.wikipedia.org/wiki/Kelp"
138,krill,seafood,,,,"https://en.wikipedia.org/wiki/Krill"
139,lobster,seafood,,,,"https://en.wikipedia.org/wiki/Lobster"
140,mollusc,seafood,,,,"https://en.wikipedia.org/wiki/Mussel"
141,oyster,seafood,,,,"https://en.wikipedia.org/wiki/Oyster"
142,prawn,seafood,,,,"https://en.wikipedia.org/wiki/Prawn"
143,scallop,seafood,,,,"https://en.wikipedia.org/wiki/Scallop"
144,shellfish,seafood,,,,"https://en.wikipedia.org/wiki/Shellfish"
145,shrimp,seafood,,,,"https://en.wikipedia.org/wiki/Shrimp"
146,trassi,seafood,,,,"https://en.wikipedia.org/wiki/Shrimp_paste#Terasi"
147,squid,seafood,,,,"https://en.wikipedia.org/wiki/Squid"
148,bonito,fish,,,,"https://en.wikipedia.org/wiki/Katsuobushi"
149,caviar,fish,,,,"https://en.wikipedia.org/wiki/Caviar"
150,codfish,fish,,,,"https://en.wikipedia.org/wiki/Cod"
151,fish,fish,,,,"https://en.wikipedia.org/wiki/Fish"
152,"fatty fish",fish,,,,"https://en.wikipedia.org/wiki/Fish"
153,"lean fish",fish,,,,"https://en.wikipedia.org/wiki/Fish"
154,"fish oil",fish,,,,"https://en.wikipedia.org/wiki/Fish_oil"
155,"smoked fish",fish,,,,"https://en.wikipedia.org/wiki/Fish"
156,salmon,fish,,,,"https://en.wikipedia.org/wiki/Salmon"
157,artichoke,flower,,,,"https://en.wikipedia.org/wiki/Artichoke"
158,champaca,flower,,,,"https://en.wikipedia.org/wiki/Magnolia_champaca"
159,jasmine,flower,,,,"https://en.wikipedia.org/wiki/Jasmine"
160,lavendar,flower,,,,"https://en.wikipedia.org/wiki/Lavandula"
161,rose,flower,,,,"https://en.wikipedia.org/wiki/Rose"
162,apple,fruit,,,,"https://en.wikipedia.org/wiki/Apple"
163,"apple sauce",fruit,,,,"https://en.wikipedia.org/wiki/Apple_sauce"
164,apricot,fruit,,,,"https://en.wikipedia.org/wiki/Apricot"
165,avocado,fruit,,,,"https://en.wikipedia.org/wiki/Avocado"
166,babaco,fruit,,,,"https://en.wikipedia.org/wiki/Babaco"
167,banana,fruit,,,,"https://en.wikipedia.org/wiki/Banana"
168,beli,fruit,,,,"https://en.wikipedia.org/wiki/Aegle_marmelos"
169,"byrsonima crassifolia",fruit,,,,"https://en.wikipedia.org/wiki/Byrsonima_crassifolia"
170,"cashew apple",fruit,,,,"https://en.wikipedia.org/wiki/Cashew#Cashew_apple"
171,cherimoya,fruit,,,,"https://en.wikipedia.org/wiki/Cherimoya"
172,coconut,fruit,,,,"https://en.wikipedia.org/wiki/Coconut"
173,currant,fruit,,,,"https://en.wikipedia.org/wiki/Ribes"
174,"black currant",fruit,,,,"https://en.wikipedia.org/wiki/Blackcurrant"
175,"red currant",fruit,,,,"https://en.wikipedia.org/wiki/Redcurrant"
176,"white currant",fruit,,,,"https://en.wikipedia.org/wiki/White_currant"
177,dates,fruit,,,,"https://en.wikipedia.org/wiki/Date_palm"
178,durian,fruit,,,,"https://en.wikipedia.org/wiki/Durian"
179,elderberry,fruit-berry,,,,"https://en.wikipedia.org/wiki/Sambucus"
180,feijoa,fruit,,,,"https://en.wikipedia.org/wiki/Acca_sellowiana"
181,fig,fruit,,,,"https://en.wikipedia.org/wiki/Common_fig"
182,grape,fruit,,,,"https://en.wikipedia.org/wiki/Grape"
183,guava,fruit,,,,"https://en.wikipedia.org/wiki/Guava"
184,hogplum,fruit,,,,"https://en.wikipedia.org/wiki/Spondias_mombin"
185,jackfruit,fruit,,,,"https://en.wikipedia.org/wiki/Jackfruit"
186,kiwifruit,fruit,,,,"https://en.wikipedia.org/wiki/Kiwifruit"
187,litchi,fruit,,,,"https://en.wikipedia.org/wiki/Lychee"
188,loquat,fruit,,,,"https://en.wikipedia.org/wiki/Loquat"
189,"malay apple",fruit,,,,"https://en.wikipedia.org/wiki/Syzygium_malaccense"
190,mango,fruit,,,,"https://en.wikipedia.org/wiki/Mango"
191,melon,fruit,,,,"https://en.wikipedia.org/wiki/Melon"
192,"musk melon",fruit,,,,"https://en.wikipedia.org/wiki/Muskmelon"
193,naranjilla,fruit,,,,"https://en.wikipedia.org/wiki/Solanum_quitoense"
194,orange,fruit,,,,"https://en.wikipedia.org/wiki/Orange_(fruit)"
195,"bitter orange",fruit,,,,"https://en.wikipedia.org/wiki/Bitter_orange"
196,papaya,fruit,,,,"https://en.wikipedia.org/wiki/Papaya"
197,"mountain papaya",fruit,,,,"https://en.wikipedia.org/wiki/Mountain_papaya"
198,passionfruit,fruit,,,,"https://en.wikipedia.org/wiki/Passiflora_edulis"
199,"yellow passionfruit",fruit,,,,"https://en.wikipedia.org/wiki/Passiflora_lutea"
200,pawpaw,fruit,,,,"https://en.wikipedia.org/wiki/Asimina_triloba"
201,peach,fruit,,,,"https://en.wikipedia.org/wiki/Peach#Nectarines"
202,pear,fruit,,,,"https://en.wikipedia.org/wiki/Pear"
203,"bartlett pear",fruit,,,,"https://en.wikipedia.org/wiki/Williams_pear"
204,"prickly pear",fruit,,,,"https://en.wikipedia.org/wiki/Opuntia"
205,pepino,fruit,,,,"https://en.wikipedia.org/wiki/Solanum_muricatum"
206,pineapple,fruit,,,,"https://en.wikipedia.org/wiki/Pineapple"
207,plum,fruit,,,,"https://en.wikipedia.org/wiki/Plum"
208,plumcot,fruit,,,,"https://en.wikipedia.org/wiki/Pluot"
209,pumpkin,fruit,,,,"https://en.wikipedia.org/wiki/Pumpkin"
210,quince,fruit,,,,"https://en.wikipedia.org/wiki/Quince"
211,"chinese quince",fruit,,,,"https://en.wikipedia.org/wiki/Pseudocydonia"
212,raisin,fruit,,,,"https://en.wikipedia.org/wiki/Raisin"
213,roseapple,fruit,,,,"https://en.wikipedia.org/wiki/Syzygium_samarangense"
214,sapodilla,fruit,,,,"https://en.wikipedia.org/wiki/Manilkara_zapota"
215,soursop,fruit,,,,"https://en.wikipedia.org/wiki/Soursop"
216,"spineless monkey orange",fruit,,,,"https://en.wikipedia.org/wiki/Strychnos_madagascariensis"
217,starfruit,fruit,,,,"https://en.wikipedia.org/wiki/Carambola"
218,tamarind,fruit,,,,"https://en.wikipedia.org/wiki/Tamarind"
219,woodapple,fruit,,,,"https://en.wikipedia.org/wiki/Aegle_marmelos"
220,berry,berry,,,,"https://en.wikipedia.org/wiki/Berry_(botany)"
221,bilberry,berry,,,,"https://en.wikipedia.org/wiki/Bilberry"
222,blackberry,berry,,,,"https://en.wikipedia.org/wiki/Blackberry"
223,blueberry,berry,,,,"https://en.wikipedia.org/wiki/Blueberry"
224,cherry,berry,,,,"https://en.wikipedia.org/wiki/Cherry"
225,"bitter cherry",berry,,,,"https://en.wikipedia.org/wiki/Prunus_virginiana"
226,"sour cherry",berry,,,,"https://en.wikipedia.org/wiki/Prunus_cerasus"
227,"wild cherry",berry,,,,"https://en.wikipedia.org/wiki/Prunus_avium"
228,cloudberry,berry,,,,"https://en.wikipedia.org/wiki/Rubus_chamaemorus"
229,cranberry,berry,,,,"https://en.wikipedia.org/wiki/Cranberry"
230,gooseberry,berry,,,,"https://en.wikipedia.org/wiki/Gooseberry"
231,lingonberry,berry,,,,"https://en.wikipedia.org/wiki/Vaccinium_vitis-idaea"
232,loganberry,berry,,,,"https://en.wikipedia.org/wiki/Loganberry"
233,raspberry,berry,,,,"https://en.wikipedia.org/wiki/Raspberry"
234,strawberry,berry,,,,"https://en.wikipedia.org/wiki/Strawberry"
235,"strawberry jam",berry,,,,"https://en.wikipedia.org/wiki/Fruit_preserves"
236,bergamot,"fruit citrus",,,,"https://en.wikipedia.org/wiki/Bergamot_orange"
237,"citrus fruits","fruit citrus",,,,"https://en.wikipedia.org/wiki/Citrus"
238,grapefruit,"fruit citrus",,,,"https://en.wikipedia.org/wiki/Grapefruit"
239,kumquat,"fruit citrus",,,,"https://en.wikipedia.org/wiki/Kumquat"
240,lemon,"fruit citrus",,,,"https://en.wikipedia.org/wiki/Lemon"
241,lime,"fruit citrus",,,,"https://en.wikipedia.org/wiki/Key_lime"
242,"mandarin orange","fruit citrus",,,,"https://en.wikipedia.org/wiki/Mandarin_orange"
243,"satsuma orange","fruit citrus",,,,"https://en.wikipedia.org/wiki/Citrus_unshiu"
244,tangerine,"fruit citrus",,,,"https://en.wikipedia.org/wiki/Tangerine"
245,vanilla,"fruit essence",,,,"https://en.wikipedia.org/wiki/Vanilla"
246,mushroom,fungus,,,,"https://en.wikipedia.org/wiki/Mushroom"
247,truffle,fungus,,,,"https://en.wikipedia.org/wiki/Truffle"
248,angelica,herb,,,,"https://en.wikipedia.org/wiki/Angelica"
249,artemisia,herb,,,,"https://en.wikipedia.org/wiki/Artemisia_(genus)"
250,basil,herb,,,,"https://en.wikipedia.org/wiki/Basil"
251,buckwheat,herb,,,,"https://en.wikipedia.org/wiki/Buckwheat"
252,calamus,herb,,,,"https://en.wikipedia.org/wiki/Acorus_calamus"
253,chervil,herb,,,,"https://en.wikipedia.org/wiki/Chervil"
254,coriander,herb,,,,"https://en.wikipedia.org/wiki/Coriander"
255,cornmint,herb,,,,"https://en.wikipedia.org/wiki/Mentha_arvensis"
256,dill,herb,,,,"https://en.wikipedia.org/wiki/Dill"
257,fennel,herb,,,,"https://en.wikipedia.org/wiki/Fennel"
258,fenugreek,herb,,,,"https://en.wikipedia.org/wiki/Fenugreek"
259,garlic,herb,,,,"https://en.wikipedia.org/wiki/Garlic"
260,"lemon balm",herb,,,,"https://en.wikipedia.org/wiki/Lemon_balm"
261,liqourice,herb,,,,"https://en.wikipedia.org/wiki/Liquorice"
262,mint,herb,,,,"https://en.wikipedia.org/wiki/Lamiaceae"
263,rhubarb,herb,,,,"https://en.wikipedia.org/wiki/Rhubarb"
264,rosemary,herb,,,,"https://en.wikipedia.org/wiki/Rosemary"
265,sage,herb,,,,"https://en.wikipedia.org/wiki/Salvia_officinalis"
266,spearmint,herb,,,,"https://en.wikipedia.org/wiki/Spearmint"
267,"scotch spearmint",herb,,,,"https://en.wikipedia.org/wiki/Mentha_%C3%97_gracilis"
268,tarragon,herb,,,,"https://en.wikipedia.org/wiki/Tarragon"
269,thyme,herb,,,,"https://en.wikipedia.org/wiki/Thyme"
270,beef,meat,,,,"https://en.wikipedia.org/wiki/Beef"
271,"beef processed",meat,,,,"https://en.wikipedia.org/wiki/Beef"
272,chicken,meat,,,,"https://en.wikipedia.org/wiki/Chicken"
273,"frankfurter sausage",dish,,,,"https://en.wikipedia.org/wiki/Frankfurter_W%C3%BCrstchen"
274,ham,meat,,,,"https://en.wikipedia.org/wiki/Ham"
275,lamb,meat,,,,"https://en.wikipedia.org/wiki/Sheep"
276,meat,meat,,,,"https://en.wikipedia.org/wiki/Meat"
277,mutton,meat,,,,"https://en.wikipedia.org/wiki/Lamb_and_mutton"
278,pork,meat,,,,"https://en.wikipedia.org/wiki/Pork"
279,sukiyaki,meat,,,,"https://en.wikipedia.org/wiki/Sukiyaki"
280,turkey,meat,,,,"https://en.wikipedia.org/wiki/Turkey_meat"
281,almond,nut,,,,"https://en.wikipedia.org/wiki/Almond"
282,"brazil nut",nut,,,,"https://en.wikipedia.org/wiki/Brazil_nut"
283,cocoa,seed,,,,"https://en.wikipedia.org/wiki/Theobroma_cacao"
284,beans,legume,,,,"https://en.wikipedia.org/wiki/Bean"
285,"lima beans",legume,,,,"https://en.wikipedia.org/wiki/Phaseolus_lunatus"
286,"kidney beans",legume,,,,"https://en.wikipedia.org/wiki/Kidney_bean"
287,peanut,nut,,,,"https://en.wikipedia.org/wiki/Peanut"
288,peas,legume,,,,"https://en.wikipedia.org/wiki/Pea"
289,soybean,legume,,,,"https://en.wikipedia.org/wiki/Soybean"
290,"soybean oil",legume,,,,"https://en.wikipedia.org/wiki/Soybean"
291,"soybean sauce","plant derivative",,,,"https://en.wikipedia.org/wiki/Soy_sauce"
292,filbert,nut,,,,"https://en.wikipedia.org/wiki/Corylus_maxima"
293,hazelnut,nut,,,,"https://en.wikipedia.org/wiki/Hazelnut"
294,"macadamia nut",nut,,,,"https://en.wikipedia.org/wiki/Macadamia"
295,nuts,nut,,,,"https://en.wikipedia.org/wiki/Nut_(fruit)"
296,pecans,nut,,,,"https://en.wikipedia.org/wiki/Pecan"
297,walnut,nut,,,,"https://en.wikipedia.org/wiki/Walnut"
298,muskmallow,seed,,,,"https://en.wikipedia.org/wiki/Abelmoschus_moschatus"
299,sesame,seed,,,,"https://en.wikipedia.org/wiki/Sesame"
300,allium,plant,,,,"https://en.wikipedia.org/wiki/Allium"
301,alpinia,plant,,,,"https://en.wikipedia.org/wiki/Alpinia"
302,ceriman,plant,,,,"https://en.wikipedia.org/wiki/Monstera_deliciosa"
303,chicory,plant,,,,"https://en.wikipedia.org/wiki/Chicory"
304,hops,plant,,,,"https://en.wikipedia.org/wiki/Hops"
305,laurel,plant,,,,"https://en.wikipedia.org/wiki/Laurus_nobilis"
306,myrtle,plant,,,,"https://en.wikipedia.org/wiki/Myrtus"
307,olive,plant,,,,"https://en.wikipedia.org/wiki/Olive"
308,pine,plant,,,,"https://en.wikipedia.org/wiki/Pine"
309,sassafras,plant,,,,"https://en.wikipedia.org/wiki/Sassafras"
